cluster_id,recency_mean,frequency_mean,monetary_mean
3,1.4644346256767689,201.4244819217126,5872445.016660439
7,1.653061224489796,326.3469387755102,25085918.112040818
8,1.9811320754716981,160.50943396226415,20084456.49436415
1,4.9227496727496725,49.46973896973897,803760.4103874029
6,12.009942438513868,98.84929356357928,24564867.27724778
9,13.348632919732074,32.553969474030964,4843388.616541156
4,14.581920903954803,52.17231638418079,4906927.150028248
0,28.574990621147972,10.074910230987728,104474.60282860104
2,29.15793513962473,9.942388281338484,85245.65921782012
5,46.250425894378196,1.6073046079694187,8803.797755523747
